"(83.0, 341.0)","(17.0, 493.0)","(156.5, 244.0)","(110.0, 462.0)","(227.0, 480.0)","(264.0, 197.0)","(330.0, 472.0)","(357.0, 190.0)","(424.0, 385.0)","(432.0, 275.0)","(433.0, 330.0)"
"(83.0, 341.0)","(19.0, 496.0)","(156.0, 243.0)","(112.0, 465.5)","(229.0, 482.0)","(263.0, 196.0)","(331.0, 472.0)","(357.0, 188.0)","(424.0, 383.0)","(432.0, 273.0)","(434.0, 328.0)"
"(84.0, 341.0)","(20.0, 499.0)","(156.0, 241.5)","(114.0, 468.0)","(231.0, 484.0)","(262.5, 195.0)","(334.0, 472.0)","(357.0, 186.0)","(425.0, 383.0)","(432.0, 273.0)","(434.0, 327.0)"
"(84.0, 340.0)","(24.0, 504.0)","(157.0, 240.0)","(115.0, 472.0)","(234.0, 486.0)","(261.0, 193.5)","(336.0, 472.0)","(357.0, 184.5)","(426.0, 381.0)","(432.0, 270.0)","(434.0, 325.0)"
"(84.0, 340.0)","(26.0, 509.0)","(157.0, 240.0)","(119.0, 474.0)","(236.0, 487.0)","(263.5, 193.0)","(338.5, 472.0)","(357.0, 184.0)","(427.0, 379.0)","(432.0, 269.0)","(435.0, 323.0)"
"(84.0, 340.0)","(28.0, 513.0)","(157.0, 240.0)","(120.0, 477.0)","(236.0, 487.5)","(263.5, 193.0)","(339.0, 472.0)","(357.0, 182.5)","(428.0, 378.0)","(432.0, 267.0)","(436.0, 322.0)"
"(84.0, 340.0)","(30.0, 516.5)","(157.0, 241.0)","(120.0, 477.5)","(239.0, 487.5)","(263.5, 193.0)","(340.5, 472.0)","(357.0, 182.0)","(430.0, 377.0)","(432.0, 267.0)","(436.0, 322.0)"
"(84.0, 341.0)","(32.0, 520.0)","(157.0, 241.0)","(121.0, 478.5)","(239.0, 486.0)","(264.0, 193.0)","(341.0, 472.0)","(357.0, 182.0)","(430.0, 377.0)","(434.0, 267.0)","(436.5, 322.0)"
"(84.0, 341.0)","(33.0, 523.0)","(156.0, 241.0)","(119.0, 477.0)","(237.0, 484.0)","(263.0, 194.0)","(340.0, 470.0)","(357.0, 183.0)","(430.0, 377.0)","(434.0, 267.0)","(437.5, 322.0)"
"(84.0, 341.0)","(34.0, 526.0)","(157.0, 241.0)","(116.0, 474.5)","(235.0, 480.0)","(263.0, 194.0)","(338.0, 468.0)","(357.0, 183.0)","(428.0, 377.0)","(434.0, 267.0)","(438.0, 321.0)"
"(84.0, 341.0)","(34.0, 529.0)","(157.0, 242.0)","(113.0, 473.0)","(233.0, 476.0)","(263.0, 194.0)","(336.0, 466.0)","(356.0, 182.0)","(428.0, 376.0)","(434.0, 265.5)","(436.0, 320.0)"
"(84.0, 341.0)","(34.0, 530.5)","(157.0, 243.0)","(107.0, 471.0)","(228.0, 472.0)","(263.0, 193.0)","(332.0, 462.0)","(356.0, 181.0)","(426.0, 375.0)","(434.0, 265.0)","(436.0, 319.0)"
"(84.0, 341.0)","(33.0, 533.0)","(157.0, 243.0)","(99.0, 467.0)","(220.0, 466.0)","(262.0, 192.5)","(326.0, 458.0)","(356.0, 179.5)","(422.0, 372.0)","(432.0, 263.0)","(434.0, 318.0)"
"(83.0, 341.0)","(32.0, 533.0)","(157.0, 243.0)","(93.0, 464.0)","(213.0, 458.0)","(261.5, 191.0)","(319.0, 453.0)","(355.0, 178.0)","(419.0, 371.0)","(432.0, 262.0)","(432.0, 316.0)"
"(83.0, 341.0)","(33.0, 535.0)","(156.5, 243.0)","(90.5, 462.0)","(211.0, 453.0)","(261.0, 191.0)","(317.0, 450.0)","(354.0, 176.0)","(417.0, 369.0)","(432.0, 259.5)","(432.0, 314.0)"
"(83.0, 341.0)","(35.0, 536.0)","(156.0, 241.0)","(90.0, 463.0)","(211.0, 454.0)","(259.5, 189.0)","(316.5, 449.0)","(353.0, 174.0)","(417.0, 367.0)","(430.0, 257.0)","(430.0, 313.0)"
"(82.0, 341.0)","(36.0, 538.0)","(155.0, 242.5)","(89.5, 463.0)","(209.0, 452.0)","(259.0, 188.0)","(315.0, 447.0)","(352.0, 174.0)","(416.0, 366.0)","(430.0, 257.0)","(430.0, 311.0)"
"(81.0, 341.0)","(38.0, 539.0)","(154.0, 243.0)","(86.0, 462.0)","(207.0, 448.0)","(258.0, 188.0)","(312.0, 444.0)","(351.5, 172.5)","(414.0, 365.0)","(429.0, 255.0)","(429.0, 311.0)"
"(81.0, 340.0)","(41.0, 541.0)","(153.5, 243.0)","(85.0, 462.0)","(205.0, 446.0)","(258.0, 187.0)","(311.0, 442.0)","(351.0, 172.0)","(413.0, 364.0)","(428.0, 255.0)","(428.0, 309.0)"
"(80.0, 340.0)","(45.0, 542.0)","(153.0, 242.5)","(85.0, 462.0)","(205.0, 444.0)","(258.0, 187.0)","(311.0, 442.0)","(350.5, 170.5)","(413.0, 362.0)","(428.0, 253.0)","(428.0, 308.0)"
"(79.0, 340.0)","(47.0, 543.0)","(153.0, 241.5)","(86.0, 461.5)","(205.0, 444.0)","(256.0, 186.0)","(312.0, 440.0)","(349.0, 170.0)","(413.0, 361.0)","(427.5, 252.0)","(428.0, 308.0)"
"(79.0, 340.0)","(51.0, 544.0)","(151.0, 241.0)","(86.0, 461.5)","(205.0, 442.5)","(255.5, 186.0)","(310.5, 440.0)","(348.0, 170.0)","(413.0, 361.0)","(426.0, 251.0)","(427.0, 307.0)"
